상권_코드,상권_코드_명_x,경도(WGS84),위도(WGS84),기준_년분기_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
3110388,도봉우체국,127.030345,37.647551,20243,CS100009,호프-간이주점,40891096,2985916,2940330,6051609,6347921,14963770,6325128,1276422,2666810,0,0,3156866,20297391,14770029,28035535,12855561,0,6436741,2870705,8568929,12702755,10311966
3110388,도봉우체국,127.030345,37.647551,20244,CS100009,호프-간이주점,49233426,6097195,7271048,2039997,2883346,12912378,12946567,5082895,1447372,0,0,0,32959042,14827012,30394802,14747235,0,0,2051393,13801314,14428129,14861201
3110388,도봉우체국,127.030345,37.647551,20241,CS100010,커피-음료,11534793,1429369,1587848,2174805,2180048,2426930,609269,1126524,0,333447,6709090,2693439,1599648,199169,4701627,5856567,11469,612471,1976772,2550408,3043637,2363436
3110388,도봉우체국,127.030345,37.647551,20242,CS100010,커피-음료,8293746,874305,1585511,1435742,903318,1343216,1329101,822553,0,0,3899479,2681725,1637265,75277,3631584,4041131,0,598157,1284278,1292484,1640373,2857422
3110388,도봉우체국,127.030345,37.647551,20243,CS100010,커피-음료,40629093,5354042,5438589,4843134,4807341,6237985,7651132,6296870,0,5734796,14480331,9393357,9968619,1051990,16843499,23464101,1259084,4312383,9266567,11876242,7261427,6331897
3110388,도봉우체국,127.030345,37.647551,20244,CS100010,커피-음료,47021926,5357531,6649608,6713996,6057330,6148238,9062877,7032346,0,8141988,15905642,10700988,11017988,1255320,23012304,23721846,743004,5059002,12611613,11998815,8884452,7437264
3110389,한일병원,127.029993,37.644334,20241,CS100001,한식음식점,321974156,33564915,41255600,35337668,44759997,58030451,60479798,48545727,1259167,909398,112278834,60242131,140197690,7086936,153186926,164884590,225117,14196701,34328946,49843583,95422175,124054994
3110389,한일병원,127.029993,37.644334,20242,CS100001,한식음식점,508416630,61643144,66934189,57499766,58854518,70659905,111322321,81502787,578497,3572478,156226887,85964570,239899202,22174996,268988765,227807723,324241,33962132,62736776,80216800,133266427,186290114
3110389,한일병원,127.029993,37.644334,20243,CS100001,한식음식점,373334266,44800395,39034894,50671697,44980478,60920535,65660380,67265887,0,1374854,132386917,57505839,166778456,15288200,167349714,184838872,0,19192677,37708251,50707826,105745806,138834027
3110389,한일병원,127.029993,37.644334,20244,CS100001,한식음식점,368811942,43954834,47862260,38236397,51939857,63264390,72448019,51106185,553270,467418,126699009,55246500,175313052,10532693,163151503,158240874,1449950,10996048,38586767,51836768,90669808,127853036
3110390,방학초등학교,127.031995,37.662948,20241,CS100001,한식음식점,1618986736,194119337,209634938,204607989,238776747,243236661,266166947,262444117,72237893,112588860,435405983,209934594,632078526,156740880,1029299621,512395274,4943134,87054501,148734422,297007839,401115999,602839000
3110390,방학초등학교,127.031995,37.662948,20242,CS100001,한식음식점,1805358204,221118622,225275981,255777493,224075902,250348397,327717144,301044665,92173435,153073086,472642693,233099264,642930137,211439589,1138240919,589171908,8003441,108762304,172467765,305578789,482836821,649763709
3110390,방학초등학교,127.031995,37.662948,20243,CS100001,한식음식점,1800537183,253822004,201848074,222559594,228989418,260475686,328979341,303863066,87447439,141353189,470526136,211593361,709213769,180403289,1145948084,581489589,5153754,98545118,165054975,299057129,461704633,697922065
3110390,방학초등학교,127.031995,37.662948,20244,CS100001,한식음식점,1843359130,218493936,249133151,236868745,238753603,249549022,334021431,316539242,81648221,138088399,519643967,239317379,704815567,159845597,1179487060,616218509,6687515,102582182,163839102,306828650,478276924,737491195
3110390,방학초등학교,127.031995,37.662948,20241,CS100002,중식음식점,138558227,18852998,5012692,18365223,24474790,21437279,24587170,25828075,0,1897431,50228842,32153072,54124347,154535,87998594,47210642,518777,6239064,15819248,29728400,39206408,43697338
3110390,방학초등학교,127.031995,37.662948,20242,CS100002,중식음식점,131087528,19796958,5958964,23814960,19777332,14722163,20797445,26219706,0,1773538,51466695,24944221,52903074,0,82588032,47980433,1044318,6456268,17619260,27054416,41481915,36912289
3110390,방학초등학교,127.031995,37.662948,20243,CS100002,중식음식점,148548873,18949973,4458754,20065289,20967287,23422560,27006436,33678574,0,2333859,60707206,31145839,54102571,259398,89990763,52856878,460360,8209305,15374147,38789157,42080628,37934043
3110390,방학초등학교,127.031995,37.662948,20244,CS100002,중식음식점,152186878,20533820,5661524,30996181,20075098,20363739,27863806,26692710,0,1582016,62521264,33418408,54665190,0,92658509,56110398,1117091,9631873,15605541,32125921,43195563,47092919
3110390,방학초등학교,127.031995,37.662948,20241,CS100005,제과점,179736132,19068491,24210554,20953081,23066861,37891223,29086792,25459130,0,29983322,38264091,39468683,47595280,24424756,68679921,102907391,546772,9183842,24110732,38041296,53601914,46102758
3110390,방학초등학교,127.031995,37.662948,20242,CS100005,제과점,179983641,24293622,28343968,24763850,20721203,23460381,34737525,23663092,0,31714435,32434040,36012408,68053104,11769654,68549346,111434295,1786798,8948580,19720197,39113427,64989878,45424761
3110390,방학초등학교,127.031995,37.662948,20243,CS100005,제과점,155743746,20787879,19932823,18277311,17712348,34246179,23302181,21485025,0,29373909,33378464,26400579,44046369,22544425,58904338,90650486,1104101,7483495,18507131,32258011,47794838,42407248
3110390,방학초등학교,127.031995,37.662948,20241,CS100006,패스트푸드점,11866213,1388689,1592457,2175631,1678420,2430340,1770752,829924,0,0,0,742899,7223096,3900218,7851973,3784473,160834,1053254,2930734,3077901,2548887,1864836
3110390,방학초등학교,127.031995,37.662948,20242,CS100006,패스트푸드점,13183797,1191822,2389481,1823816,2081177,2966818,1329789,1400894,0,0,0,941359,7737818,4504620,8378835,4462698,507293,1979294,2677088,3032088,2625086,2020684
3110390,방학초등학교,127.031995,37.662948,20243,CS100006,패스트푸드점,12117738,2077463,1633846,2267963,1628010,2260534,2075341,174581,0,0,0,1369587,6593225,4154926,7011902,5105836,351285,1189699,2742357,2552387,2759338,2522672
3110390,방학초등학교,127.031995,37.662948,20244,CS100006,패스트푸드점,13787667,1194475,3187035,2050930,1726178,3137686,2163957,327406,0,0,0,740776,8517332,4529559,8021713,5765954,530111,1358443,2549204,3802048,3846092,1701769
3110390,방학초등학교,127.031995,37.662948,20241,CS100009,호프-간이주점,11873480,0,340633,1946472,827251,3406326,5206813,145985,6958638,0,0,0,681265,4233577,11386862,486618,0,486618,1216545,0,8515815,1654502
